Came here on a Saturday afternoon and was surprised they were open around 3pm. We were seated right away but we chose to sit outside. So we didn't even get...,4
"This tiny restaurant in Japan town is very popular!  We found out why really fast. 
They have tasty food, fun vibe, good service, & a fast turnaround on...",5
"There are few Korean places outside of Hawaii that serve meat jun, and even fewer that do it well. This place makes the best meat jun I've had in a long...",5
"Great food. Tastes fresh, and uses good ingredients! 

Btw to the owners: I typed in ""best organic and local sourced restaurant in San Jose based off your...",5
The wait was an absolute NIGHTMARE here. We got here around 1 on a Saturday afternoon. We were told the wait will be around 45 minutes which is fine. We...,1
Waited over 40min for a table when there were tons of empty tables. Was seated outside eventually next to a loose tarp that kept blowing against our table....,1
I recently visited The Grandview Restaurant and was thoroughly impressed with the attention to detail and ambiance. The bar staff and wait staff were...,5
"We visited The Grandview Restaurant for my friend's birthday, just for some appetizers and drinks. It was a Thursday and we were able to easily make a same...",5
"My husband made a last minute reservation for us at the Grandview Restaurant on a Thursday night and we were able to be seated around 7:45p, right as the...",4
"I use to go to the place this was known before Cafe Stritch. After pandemic, change of name to Mama Kim!! Same awesome vibe! Great live music !

They did...",5
"My first time and very pleased with the entertainment. Such a cool vibe.
I ordered the cat fish sliders. Maybe could have had a little more
fish in it but...",4
"One of a very few spots in downtown SJ that serves food late. We arrived after a long work day, and the place was nearly empty. The guy behind the bar was...",4
"What is up with the 4% charge?!!!! I left the restaurant without trying the food... the place looks kinda nice,  but I don't like the feeling after reading...",3
I came here on Valentine's Day for dinner with my girlfriend. We got seated pretty quick and received water from our server as soon as we sat down. It was...,5
Came here with my friend on a decently busy Sunday night and the experience was fabulous. They specialize in sheng jian bao here and it was my first time...,4
Anejo just opened recently and I and some members of my company have enjoyed it on several occasions- sometimes at lunch and sometimes for Happy Hour. The...,5
"Spontaneously stopped by last night for drinks. This place is a very good addition to the area. Sergey, the barkeep, was an excellent host. We had a lot of...",5
Great service. Staff is great. Cocktails just like I like them...! Don't miss out on this hidden gem..,5
"I have been wanting to try this place, and it was the perfect opportunity for my partner's birthday. Parking in downtown is a bit difficult but we were...",5
"Ok. Let me know if you've been to a restaurant like this. 

1. You're enjoying yourself and the food was delicious. 
2. Everyone else was enjoying...",5
"Such a wonderful place to celebrate an anniversary with some delicious food! 

For appetizers, we got the shrimp mango ceviche and Brussels sprouts salad to...",4
I loved the food! I came on a day where I wasn't feeling like anything sounded good/didn't know what I wanted so I went with the waiters recommendation. It...,5
"The place is very modern with a big bar. 
Had the calimari, antipasto platter, osso bucco and papardelle with pork and mushrooms. 

The calimari is mostly...",1
"Nice interior, professional service. The salad is really good, my favorite among the four dishes we ordered. The shrimp is charred just right; but it...",5
I came to Meso for the first time last Friday with a few friends. I had a great experience here thanks to Gabby our server. She was very knowledgeable about...,5
Great ambience inside . Happy hour menu till 6 on weekdays. Mezze platter is a must. The pomegranate mule is delicious! A bit of a walk from the parking...,4
"Read the reviews and was really excited to try Meso, and my wife and I had a great experience. We ordered a ton for two people: octopus, and halloumi for...",5
You know what I hate is when Elite yelpers who think they're good critics cause they watched a few cooking shows and had a taste for fine dining and knit...,5
"Cool place and vibe! Where to eat when in SJ? As usual, a few clicks on Yelp and you're wondering if this is ""the"" place. Well, the menu is interesting with...",4
"We met friends for dinner and thought it was overall 3 stars. Service was good, but the food was just okay. We ordered calamari and wings for appetizers and...",3
I recently dined at this seafood restaurant and had a fantastic experience. I ordered the oyster sampler platter and was blown away by the freshness and...,5
Today we had a dinner with my friends and everything was great.  The food was delicious and our server JJ's suggestions matched our taste buds.  Thank you...,5
amazing food! Edgar our server was amazing. second time here and will definitely be back!,5
"Would give six stars if I could for the fantastic service here.

My friends and I were looking forward to a much-needed ladies' night and picked OCK as our...",5
"Came in on Saturday morning for brunch. Walk-in for indoor table for 2 only took 10-15 mins which is gracious.

We ordered the cold brew which is nitro in a...",3
Friends took me out to dinner at this restaurant last week. Been wanting to try this place for a lonnnng time. We arrived 10 minutes later than our reso and...,4
Came here for a happy hour dinner with my friend. They had a nice bar area in the middle and plenty of seating with enough space surrounding each table. It...,4
"Overall, this was a very delicious meal. Pretty decent sized place and there was no wait time. I got seated immediately on a Thursday night. Staff was very...",4
"First time here, showed up with a party of 6. We got sat down immediately. I learned real quick that this was not a place for full blown meals but this...",5
"10 am, Sunday morning, no line. Food's fire! 

I'd call this place a hidden gem. If they were in a downtown area with a more ""normal"" brunchy atmosphere and...",5
Visited on a weekend morning before the crowd and were warmly greeted right away by a kind server who welcomed us and asked if we had been here before. He...,5
"Went here early Sunday with a large group. Got street parking, wasn't sure if there was a private lot but got lucky with street parking. It was...",5
I think this is our 4th time here and it never disappoints!! The executive Chef Claudio has put together a great shareable menu. Everything comes out hot...,5
"This place has a really great vibe and so far everything I've tried in the menu is really good! The bartenders Jody and Kevin are absolutely amazing,...",5
Sean was the best server!!! Helped us celebrate a 40th bday with girlfriends. Food was fabulous. Love the vibe on a Tuesday night. Going to bring my...,5
"I really enjoyed this place!! The food was really flavorful, they had a lot of different varieties, and the service was fantastic! The jamon was so good!!!...",5
"Zero-star rating: 

My experience at Petiscos was nothing short of appalling. I feel obligated to share the sheer disappointment and frustration I...",1
Went here yesterday with a friend and had an amazing time! Parking was a bit difficult bc it's downtown SJ but i just parked a block away at a public lot so...,5
"5/5 (Yes another 5/5! I eat good, dang, okay?  ofc +service was great here) 

 SIMPLE REVIEW:
1. Taste: 
I like starting with the least favorite (still...",5
So delicious. Picked up my order Togo on a Saturday afternoon. I actually got to talk to the owners that night and they're so wholesome and open and...,5
I ordered 30 Shaking Beef Bao Buns for a company holiday party on Thursday night. Online ordering made it so easy and on top of that they had such a fast...,5
"I have never had a beef jeon before, so I was really excited to try it. This is a local business with lots of seating inside and a convenient parking lot....",5
"Just a solid Korean restaurant. Nothing specifically stood out, good tasting Korean staples. The service was good, the food was tasty and served fairly...",3
"Service is very average because they just stand behind the counter and don't come to check on you.
Food is average but portion is very small considering the...",3
"Quick service, and amazing happy hour prices! Great selection of whiskey and a short walk to the Tank!",5
"Cool spot downtown San Jose for drinks and great eats. 4.5 stars 

Drinks/Food: 4 Service: 5 Atmosphere: 5
Cost to worth it rating: 3 (most cocktails $15,...",4
"Hadn't been here since pre-Covid and it's changed a lot. The bar area and such are the same, but the atmosphere was totally different. 

We walk in and...",4
"We  visited this Bar last night and had an amazing time. The food , drinks, and Dj  were all phenomenal  But what made our experience even better was the...",5
"This place feels upscale for the DTSJ area, which is a definite plus. Each time I've been here, I sat at the bar and had great service. The martinis are...",3
"Came here for a second time with girlfriends on a Tues evening and had a great time connecting over yummy food, with great service and impeccable ambiance....",5
"Fish taco's  & shrimp burrito  were soo
delicious !!!!!!!






.......................................................",5
"There is outside seating in tents and the inside is sort or like a bar. 

I got the cali steak fries here. The fries are actually curly fries instead of...",4
I've been dying to try their food ever since I've seen pics on Instagram! Food looks fireee. They have a location in DTSJ.  * I came here for Cultural Night...,3
"It is simply awesome
The best Thai food 
Service is also amazing 
The staff is also very friendly",5
Good ambience and food. Enjoyed the evening with authentic Thai food. Recommend this place highly,5
"This place is a hidden gem. I have been going there for quite a few times.

My all time favorite is the fried calamari appetizer. It is made of calamari...",5
"We are at Secco before catching a performance at San Jose Center for the Performing Arts. It was very convenient, and they validated parking at the Hilton....",5
3.5 stars rounded to 4 because of the friendly service. I didn't want to leave the Hilton and decided to try the on-site restaurant. The menu offered a...,4
"We just dined at Secco's for the first time last night, before attending a show at the Center for the Performing Arts across the street. Since there weren't...",4
It's really close to the sjsu campus and the food is consistently good! The size is always more than you think it is. I also like the option to add rice at...,5
Went there today the service is great and it's very good Definitely coming here again soon,5
"After eating at the sack of potatoes, I was still hungry. The sushi rolls did not fill me up enough, nor did my friend. We decided to have an actual meal...",5
"I actually don't understand why this place only has 3.5 stars reviews. I'm always on the lookout for Chinese cuisine (not Canto), I saw this in a video...",4
"575 is the best rice noodle I have had in THE U. S.
They broth has so much flavor and you can taste the time and effort they have put into it.
The is fresh...",5
"Beef Rice Noodle looks good, tastes also good but not exceptional. The environment is above average, service depends on who serves you, young lady in the...",4
Celebrated my birthday with girl friends there. the food was so good and the waiter was very friendly and nice. they gave me a free dessert for the...,5
"Service - excellent waiters or waitress fantastic
Ambiance - excellent and not noisy. Romantic
Food - anything I order was very well presented and very...",5
"We came here for the first time on the Sunday before Valentine's Day and we did not regret!
It's not a huge place, but had a nice romantic atmosphere. Our...",5
I came to LUNA to celebrate my birthday and we decided to come here because of the homemade tortillas!! and I saw they had a variety of traditional Mexican...,5
"I've been here many times, but have only gotten around to writing a review now. I love eating Mexican food, but as a friend has described Luna's, it's ""frou...",4
"This place is good but service can be slow. We went on a Saturday night so it's expected. The meat combo was pretty good, my party definitely enjoyed this...",4
My husband and I are always looking for new places to eat as we are foodies. We tried Jackie's Place on a recommendation from one of our friends. All I can...,5
Im vegetarian so I had all side n let me say it's been the best soul food place in the area! Taste home made n very flavorful!,5
The food is amazing! I love the brisket and fried fish the most. Don't forget the sides! Cornbread muffin was just enough to compliment the meat. Ooof and...,5
We've followed Hula Truck for years. I'm so excited they'll have a permanent location so near to us. We came in around lunch and were lucky enough to snag a...,5
"Picked up lunch on a Friday afternoon, and had a good experience. It's a fairly small restaurant (about 6-7 tables inside), the setting simple but inviting,...",4
"Whoooooooo! Saw the grand opening sign and decided to give it a try.  Got To Support Local Business!
My wife had the Poke Tuna and I did the Pork Belly (...",5
"Thank goodness for The Fab! We got in a little late, we're staying in the area, and trying to grab something quick between the storms that were just...",5
"3.5 stars for my first visit, but rounding up for their reasonable prices and sizable portions. Remember to check in on Yelp for 10% off your bill! The FAB...",4
We made reservations at The FAB for a group of about 12 people through Yelp Reservations and they provided great service to everyone in our group! It just...,4
"Went here at recommendation of a business friend.  Set a reservation (highly recommended).

Was greeted at the door and promptly seated.  One note, the...",5
Had dinner here the other weekend. We were going to an event at the SAP Center and this restaurant is within walking distance. Make reservations beforehand...,3
3.5 stars. Ok American-Italian fare in Downtown San Jose. Portion sizes apparently have shrunk according to my dining companion who used to come here...,3
"I was craving Japanese curry for the longest time, so a friend introduced me to Gombei. Honestly I wish I knew about this spot earlier because it's the BEST...",5
"I had a wonderful experience here. The food was great, and the portions were sizable. I chose one of the specials, which did not disappoint. The tastes were...",5
the vibe is your neighborhood casual Japanese eatery -- the waitresses are constantly roaming around tending to customers and speaking Japanese between...,4
Last night I brought my girl friend to Tostadas to help boost her energy since her recent breakup. This was also her first time there. I want to...,5
Tostadas prices may shy costumers but it is well worth it. Me and my friends had trouble figuring out what we wanted. When our survey came he helped us...,5
Mis mejores comentarios para Jonathan es unos de los mejores bartender que he conocido y hace una de las mejores bebidas y una de ellas es cucumber cooler...,5
solid yakitori spot! would recommend joining the yelp waitlist before heading over especially on a weekend since the restaurant is pretty small and cozy....,4
"Quite the popular izakaya with a pretty intense waitlist, so if you're planning on checking it out, definitely use the yelp waitlist.  While I did think...",3
"This place has really good yakitori. Good price for yakitori but expect to pay a decent amount if you want to be full. 

Food: 5/5 I've come here twice now...",5
"We love the restaurant and have eaten here four times. Great food. Want to go again, but did not appreciate the offhand manner with which the waitress...",4
Came in on a Friday night with no reservation and they accommodated us. The restaurant is very cute and a great place for a date. Our waitress (I think her...,5
Beautiful spot right on the Alameda. Parking is available on side streets in the neighborhood. I love that they have some outdoor seating with heat lamps...,4
"Honestly this place is great! Good food, good drinks, and is able to adapt to please all people's needs.

If you want a restaurant with sit down food, they...",5
This review is only for their Sippin Santa Christmas event. This event is so much fun! It is also open on Christmas Eve. I've been to several miracle bars...,4
"55 south, you are a hub of good memories for me. First time I ever visited was in college, circa 2014. But I wasn't drinking yet, and just went for the...",4
"If you're ever craving Peruvian food then this is your spot.

Lomo saltado is my go to entree and it did not disappoint. The only thing I would add is the...",5
Looking for a new place to eat at San Pedro Square since I always go to the taco bar (which is amazing) so I checked out this place since I noticed they...,4
It's been a while since I've had some tasty Peruvian food. I've had this place bookmarked for a while but never got a chance to try it. Self service screen...,3
